id,rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
,PF02352.18,Decorin binding protein,Family,2,141,280,140.0,44,Pfam seed
,PF01335.24,Death effector domain,Domain,184,120,14987,81.5,26,Pfam seed
,PF01548.20,Transposase,Family,91,253,14190,155.9,26,Pfam seed
,PF17333.5,Beta defensin 136,Domain,9,52,460,51.1,54,Pfam seed
,PF17546.5,Beta defensin 50,Family,2,50,100,50.0,72,Pfam seed
,PF00323.22,Mammalian defensin,Domain,36,30,1043,29.0,43,Pfam seed
,PF01097.21,Arthropod defensin,Domain,15,38,490,32.7,48,Pfam seed
,PF08131.14,Defensin-like peptide family,Domain,2,39,78,39.0,38,Pfam seed
,PF07936.15,Potassium-channel blocking toxin,Domain,10,37,347,34.7,45,Pfam seed
,PF18251.4,Fungal defensin Copsin,Domain,3,39,117,39.0,50,Pfam seed
,PF00711.22,Beta defensin,Domain,46,37,1632,35.5,34,Pfam seed
,PF13841.9,Beta defensin,Domain,88,40,2685,30.5,35,Pfam seed
,PF14862.9,Big defensin,Domain,5,94,301,60.2,28,Pfam seed
,PF17858.4,Platypus intermediate defensin-like peptide,Domain,1,44,44,44.0,100,Pfam seed
,PF10868.11,"Cysteine-rich antifungal protein 2, defensin-like",Domain,24,72,1195,49.8,43,Pfam seed
,PF00879.21,Defensin propeptide,Family,31,60,1594,51.4,48,Pfam seed
,PF17860.4,RK-1-like defensin,Domain,4,34,132,33.0,47,Pfam seed
,PF08181.14,DegQ (SacQ) family,Family,3,47,138,46.0,72,Pfam seed
,PF05384.14,Sensor protein DegS,Coiled-coil,57,159,9004,158.0,37,Pfam seed
,PF01041.20,DegT/DnrJ/EryC1/StrS aminotransferase family,Domain,21,441,7560,360.0,30,Pfam seed
,PF02645.19,"Uncharacterised protein, DegV family COG1307",Family,37,333,10367,280.2,25,Pfam seed
,PF13486.9,Reductive dehalogenase subunit,Domain,20,435,6111,305.6,28,Pfam seed
,PF10778.12,Halocarboxylic acid dehydrogenase DehI,Family,6,164,876,146.0,20,Pfam seed
,PF09098.13,"Quinohemoprotein amine dehydrogenase A, alpha subunit, haem binding",Domain,4,167,662,165.5,47,Pfam seed
,PF13816.9,Haem-containing dehydratase,Domain,50,443,15714,314.3,30,Pfam seed
,PF02286.18,Dehydratase large subunit,Domain,24,555,13240,551.7,63,Pfam seed
,PF02288.18,Dehydratase medium subunit,Domain,56,122,6180,110.4,36,Pfam seed
,PF02287.18,Dehydratase small subunit,Domain,31,134,4096,132.1,52,Pfam seed
,PF00257.22,Dehydrin,Family,15,360,2651,176.7,44,Pfam seed
,PF08766.14,DEK C terminal domain,Domain,239,66,13018,54.5,26,Pfam seed
,PF12041.11,Transcriptional regulator DELLA protein N terminal,Domain,21,77,1446,68.9,58,Pfam seed
,PF16020.8,Deltamethrin resistance,Family,30,52,1534,51.1,35,Pfam seed
,PF05599.14,Deltaretrovirus Tax protein,Family,2,87,174,87.0,61,Pfam seed
,PF05372.14,Delta lysin family,Family,2,25,50,25.0,92,Pfam seed
,PF15498.9,"Nephrin and CD2AP-binding protein, Dendrin",Family,6,697,3937,656.2,66,Pfam seed
,PF02141.24,DENN (AEX-3) domain,Family,35,220,6570,187.7,29,Pfam seed
,PF09804.12,DENN domain-containing protein 11,Family,23,418,6856,298.1,29,Pfam seed
,PF02336.18,Capsid protein VP4,Domain,2,452,860,430.0,39,Pfam seed
,PF01791.12,DeoC/LacD family aldolase,Domain,13,315,3107,239.0,22,Pfam seed
,PF00455.25,DeoR C terminal sensor domain,Domain,77,178,12241,159.0,28,Pfam seed
,PF00610.24,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",Domain,98,113,7242,73.9,24,Pfam seed
,PF19418.2,DEPDC5 protein C-terminal region,Family,5,322,1430,286.0,54,Pfam seed
,PF15343.9,Decidual protein induced by progesterone family,Family,13,202,2406,185.1,55,Pfam seed
,PF04511.18,Der1-like family,Family,8,229,1554,194.2,34,Pfam seed
,PF14704.9,Dermatopontin,Family,52,249,7962,153.1,29,Pfam seed
,PF15291.9,"Dermcidin, antibiotic peptide",Domain,2,100,191,95.5,80,Pfam seed
,PF06771.14,Viral Desmoplakin N-terminus,Family,2,97,175,87.5,31,Pfam seed
,PF05497.15,Destabilase,Family,46,142,5383,117.0,36,Pfam seed
,PF01880.21,Desulfoferrodoxin,Domain,29,151,3002,103.5,37,Pfam seed
,PF06397.15,"Desulfoferrodoxin, N-terminal domain",Domain,8,36,286,35.8,55,Pfam seed
,PF09737.12,De-etiolated protein 1 Det1,Family,32,484,12959,405.0,42,Pfam seed
,PF01905.19,CRISPR-associated negative auto-regulator DevR/Csa2,Family,28,397,7761,277.2,24,Pfam seed
,PF10539.12,Development and cell death domain,Domain,49,149,6166,125.8,45,Pfam seed
,PF15198.9,Dexamethasone-induced,Family,3,95,274,91.3,76,Pfam seed
,PF09033.13,"DNA Fragmentation factor 45kDa, C terminal domain",Domain,19,180,3105,163.4,54,Pfam seed
,PF09230.13,DNA fragmentation factor 40 kDa,Domain,24,333,5842,243.4,45,Pfam seed
,PF04127.18,DNA / pantothenate metabolism flavoprotein,Family,367,305,67848,184.9,42,Pfam seed
,PF08630.13,"Dfp1/Him1, central region",Family,94,184,11974,127.4,35,Pfam seed
,PF16543.8,"DRG Family Regulatory Proteins, Tma46",Domain,95,144,8530,89.8,38,Pfam seed
,PF08859.14,DGC domain,Domain,82,133,8713,106.3,28,Pfam seed
,PF07324.14,DiGeorge syndrome critical region 6 (DGCR6) protein,Family,10,217,1925,192.5,49,Pfam seed
,PF11024.11,Dispersed gene family protein 1 of Trypanosoma cruzi region 4,Domain,17,86,1275,75.0,71,Pfam seed
,PF11038.11,Dispersed gene family protein 1 of Trypanosoma cruzi region 5,Domain,2,278,555,277.5,64,Pfam seed
,PF11040.11,Dispersed gene family protein 1 of Trypanosoma cruzi C-terminus,Domain,16,106,1400,87.5,72,Pfam seed
,PF05035.15,2-keto-3-deoxy-galactonokinase,Family,74,393,21394,289.1,35,Pfam seed
,PF18909.3,"dATP/dGTP diphosphohydrolase, N-terminal",Family,54,193,5493,101.7,26,Pfam seed
,PF00926.22,"3,4-dihydroxy-2-butanone 4-phosphate synthase",Family,659,344,128590,195.1,45,Pfam seed
,PF09626.13,Dihaem cytochrome c,Family,18,127,2047,113.7,34,Pfam seed
,PF08385.15,"Dynein heavy chain, N-terminal region 1",Family,195,1091,111519,571.9,23,Pfam seed
,PF08393.16,"Dynein heavy chain, N-terminal region 2",Family,523,966,213531,408.3,27,Pfam seed
,PF00701.25,Dihydrodipicolinate synthetase family,Domain,9,301,2593,288.1,29,Pfam seed
,PF00186.22,Dihydrofolate reductase,Domain,49,206,7820,159.6,35,Pfam seed
,PF06442.14,R67 dihydrofolate reductase,Domain,3,78,234,78.0,76,Pfam seed
,PF01368.23,DHH family,Family,1075,606,193811,180.3,22,Pfam seed
,PF02272.22,DHHA1 domain,Family,120,188,16101,134.2,17,Pfam seed
,PF02833.17,DHHA2 domain,Family,443,331,60776,137.2,23,Pfam seed
,PF01529.23,DHHC palmitoyltransferase,Family,73,210,9850,134.9,22,Pfam seed
,PF14286.9,DHHW protein,Family,2,385,747,373.5,42,Pfam seed
,PF04038.15,Dihydroneopterin aldolase,Family,57,111,6060,106.3,42,Pfam seed
,PF12890.10,Dihydro-orotase-like,Family,4,192,597,149.2,37,Pfam seed
,PF10418.12,Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B,Domain,93,49,3732,40.1,41,Pfam seed
,PF06537.14,"Di-haem oxidoreductase, putative peroxidase",Family,4,573,1978,494.5,45,Pfam seed
,PF01180.24,Dihydroorotate dehydrogenase,Domain,11,386,3287,298.8,32,Pfam seed
,PF01959.19,3-dehydroquinate synthase II,Family,78,420,28047,359.6,43,Pfam seed
,PF01487.18,Type I 3-dehydroquinase,Domain,214,437,48223,225.3,28,Pfam seed
,PF01220.22,Dehydroquinase class II,Domain,609,211,84058,138.0,48,Pfam seed
,PF01761.23,3-dehydroquinate synthase,Domain,76,347,19871,261.5,40,Pfam seed
,PF06920.16,"DHR-2, Lobe A",Repeat,51,203,7822,153.4,29,Pfam seed
,PF20422.1,"DHR-2, Lobe B",Domain,53,120,4229,79.8,36,Pfam seed
,PF20421.1,"DHR-2, Lobe C",Domain,53,125,5457,103.0,29,Pfam seed
,PF14571.9,"Stress-induced protein Di19, C-terminal",Family,42,128,4353,103.6,39,Pfam seed
,PF05651.16,Putative sugar diacid recognition,Family,96,142,12716,132.5,33,Pfam seed
,PF05358.14,DicB protein,Family,1,62,62,62.0,100,Pfam seed
,PF03368.17,Dicer dimerisation domain,Domain,202,164,18874,93.4,28,Pfam seed
,PF17895.4,Giardia Dicer N-terminal domain,Domain,1,144,144,144.0,100,Pfam seed
,PF11492.11,"Cricket paralysis virus, VP4",Family,4,61,221,55.2,28,Pfam seed
,PF04706.15,Dickkopf N-terminal cysteine-rich region,Family,45,61,2336,51.9,39,Pfam seed
,PF10069.12,Sensory domain in DIguanylate Cyclases and Two-component system,Domain,74,217,9393,126.9,31,Pfam seed
,PF09267.13,"Dictyostelium STAT, coiled coil",Coiled-coil,5,124,564,112.8,38,Pfam seed
,PF05720.15,Cell-cell adhesion domain,Family,6,85,480,80.0,42,Pfam seed
,PF05462.14,Slime mold cyclic AMP receptor,Family,5,310,1532,306.4,66,Pfam seed
,PF00526.21,Dictyostelium (slime mold) repeat,Repeat,147,30,3490,23.7,53,Pfam seed
,PF05086.15,Dictyostelium (Slime Mold) REP protein,Family,5,984,4500,900.0,35,Pfam seed
,PF04562.15,"Dictyostelium spore coat protein, N terminus",Family,37,170,4248,114.8,32,Pfam seed
,PF04922.15,DIE2/ALG10 family,Family,118,699,47750,404.7,33,Pfam seed
,PF13164.9,Diedel,Family,14,95,1089,77.8,38,Pfam seed
,PF01843.22,DIL domain,Repeat,183,202,19349,105.7,25,Pfam seed
,PF08194.15,DIM protein,Family,15,41,532,35.5,46,Pfam seed
,PF02966.19,Mitosis protein DIM1,Domain,18,139,2405,133.6,53,Pfam seed
,PF16844.8,"Dinitrogenase iron-molybdenum cofactor, N-terminal",Domain,20,96,1751,87.5,39,Pfam seed
,PF08100.14,Dimerisation domain,Domain,30,62,1552,51.7,39,Pfam seed
,PF16864.8,Dimerisation domain,Domain,42,100,3700,88.1,41,Pfam seed
,PF05699.17,hAT family C-terminal dimerisation region,Domain,47,97,4022,85.6,26,Pfam seed
,PF02281.19,Transposase Tn5 dimerisation domain,Domain,1,99,99,99.0,100,Pfam seed
,PF09505.13,Dimethylamine methyltransferase (Dimeth_PyL),Family,7,463,3224,460.6,59,Pfam seed
,PF05163.15,DinB family,Family,12,207,2028,169.0,17,Pfam seed
,PF12867.10,DinB superfamily,Domain,114,419,16442,144.2,13,Pfam seed
,PF06183.16,DinI-like family,Family,22,67,1389,63.1,41,Pfam seed
,PF00775.24,Dioxygenase,Domain,6,205,1107,184.5,32,Pfam seed
,PF04444.17,Catechol dioxygenase N terminus,Family,96,76,6923,72.1,35,Pfam seed
,PF14226.9,non-haem dioxygenase in morphine synthesis N-terminal,Family,322,253,38290,118.9,26,Pfam seed
,PF17679.4,gp37/Dip protein,Family,1,273,273,273.0,100,Pfam seed
,PF01866.20,Putative diphthamide synthesis protein,Family,210,596,64579,307.5,29,Pfam seed
,PF01902.20,Diphthamide synthase,Family,4,223,868,217.0,38,Pfam seed
,PF02763.17,"Diphtheria toxin, C domain",Domain,1,187,187,187.0,100,Pfam seed
,PF01324.22,"Diphtheria toxin, R domain",Domain,2,167,306,153.0,27,Pfam seed
,PF02764.17,"Diphtheria toxin, T domain",Domain,5,190,821,164.2,28,Pfam seed
,PF11763.11,Cell-wall adhesin ligand-binding C-terminal,Family,6,146,755,125.8,34,Pfam seed
,PF03018.17,Dirigent-like protein,Family,237,231,34243,144.5,33,Pfam seed
,PF06584.16,DIRP,Family,39,133,4168,106.9,41,Pfam seed
,PF17877.4,DIS3-like exonuclease 2 C terminal,Domain,125,145,11029,88.2,26,Pfam seed
,PF19226.3,DisA glycoprotein,Family,6,579,2294,382.3,22,Pfam seed
,PF10635.12,DisA bacterial checkpoint controller linker region,Domain,116,159,16361,141.0,41,Pfam seed
,PF08480.13,Disaggregatase related,Repeat,6,207,1144,190.7,49,Pfam seed
,PF06848.14,Disaggregatase related repeat,Repeat,21,182,3774,179.7,61,Pfam seed
,PF16506.8,Putative virion glycoprotein of insect viruses,Family,20,590,5527,276.4,13,Pfam seed
,PF02377.18,Dishevelled specific domain,Family,17,194,2714,159.6,50,Pfam seed
,PF00200.26,Disintegrin,Domain,512,182,38480,75.2,44,Pfam seed
,PF06491.14,Disulphide isomerase,Family,69,143,9356,135.6,51,Pfam seed
,PF06750.16,Bacterial Peptidase A24 N-terminal domain,Domain,391,162,36056,92.2,44,Pfam seed
,PF05141.15,Pyoverdine/dityrosine biosynthesis protein,Family,112,399,31308,279.5,34,Pfam seed
,PF20307.1,Divergent DnaB-like ATPase,Domain,23,400,8260,359.1,32,Pfam seed
,PF20286.1,Divergent Family B DNA polymerase,Family,17,757,11974,704.4,35,Pfam seed
,PF04977.18,Septum formation initiator,Coiled-coil,63,83,4983,79.1,21,Pfam seed
,PF05103.16,DivIVA protein,Family,51,144,6760,132.5,33,Pfam seed
,PF00778.20,DIX domain,Family,47,89,3634,77.3,37,Pfam seed
,PF01965.27,DJ-1/PfpI family,Domain,24,230,4070,169.6,27,Pfam seed
,PF09350.13,"DnaJ homologue, subfamily C, member 28, conserved domain",Domain,194,87,13335,68.7,31,Pfam seed
,PF08068.15,DKCLD (NUC011) domain,Domain,43,59,2469,57.4,57,Pfam seed
,PF13644.9,DKNYY family,Family,25,391,4388,175.5,22,Pfam seed
,PF15760.8,Leukemia-associated protein 7,Family,3,203,566,188.7,60,Pfam seed
,PF01738.21,Dienelactone hydrolase family,Domain,11,276,2449,222.6,23,Pfam seed
,PF05783.14,Dynein light intermediate chain (DLIC),Family,6,483,2814,469.0,57,Pfam seed
,PF12413.11,Homeobox protein distal-less-like N terminal,Family,26,111,2177,83.7,37,Pfam seed
,PF18709.4,Dynamin-like helical domain,Domain,9,349,3026,336.2,27,Pfam seed
,PF04914.15,DltD protein,Family,52,414,18231,350.6,30,Pfam seed
,PF00751.21,DM DNA binding domain,Family,52,49,2433,46.8,48,Pfam seed
,PF06565.15,DM10 domain,Domain,219,163,23592,107.7,30,Pfam seed
,PF10517.12,Electron transfer DM13,Domain,101,132,10513,104.1,27,Pfam seed
,PF07841.16,DM4/DM12 family,Family,170,148,14509,85.3,28,Pfam seed
,PF03474.17,DMRTA motif,Domain,27,37,989,36.6,46,Pfam seed
,PF05499.15,DNA methyltransferase 1-associated protein 1 (DMAP1),Family,24,209,4034,168.1,51,Pfam seed
,PF17024.8,Putative DMAP1-like,Family,11,125,1253,113.9,38,Pfam seed
,PF06464.14,DMAP1-binding Domain,Domain,20,130,2126,106.3,26,Pfam seed
,PF17587.5,Discriminator of mRNA degradation,Family,1,60,60,60.0,100,Pfam seed
,PF07263.14,Dentin matrix protein 1 (DMP1),Family,13,576,6486,498.9,59,Pfam seed
,PF16779.8,DNA-mimic protein,Domain,2,115,230,115.0,97,Pfam seed
,PF07836.14,DmpG-like communication domain,Domain,55,63,3455,62.8,51,Pfam seed
,PF08826.13,DMPK coiled coil domain like,Coiled-coil,6,62,364,60.7,49,Pfam seed
,PF00885.22,"6,7-dimethyl-8-ribityllumazine synthase",Domain,601,224,83788,139.4,39,Pfam seed
,PF15791.8,Doublesex-and mab-3-related transcription factor C1 and C2,Family,9,150,1124,124.9,48,Pfam seed
,PF12374.11,Double-sex mab3 related transcription factor 1,Family,18,100,1298,72.1,43,Pfam seed
,PF20624.1,"DMRT5, DMB domain",Domain,39,98,3367,86.3,53,Pfam seed
,PF04976.15,DMSO reductase anchor subunit (DmsC),Family,5,318,1406,281.2,36,Pfam seed
,PF16867.8,Dimethlysulfonioproprionate lyase,Domain,8,180,1301,162.6,29,Pfam seed
,PF20588.1,Cyclin-D-binding Myb-like transcription factor 1 N-terminal,Domain,49,124,3640,74.3,34,Pfam seed
,PF04342.15,Putative member of DMT superfamily (DUF486),Family,120,131,13006,108.4,54,Pfam seed
,PF04657.16,"Putative inner membrane exporter, YdcZ",Family,90,173,12489,138.8,28,Pfam seed
,PF20500.1,"DNA-PKcs, N-terminal",Domain,12,883,9668,805.7,53,Pfam seed
,PF08696.14,DNA replication factor Dna2,Family,128,357,26755,209.0,29,Pfam seed
,PF11638.11,DnaA N-terminal domain,Domain,49,80,3144,64.2,25,Pfam seed
,PF00772.24,DnaB-like helicase N terminal domain,Domain,154,132,15680,101.8,26,Pfam seed
,PF07261.14,Replication initiation and membrane attachment,Family,259,103,19050,73.6,24,Pfam seed
,PF10410.12,DnaB-helicase binding domain of primase,Domain,441,71,24446,55.4,20,Pfam seed
,PF03796.18,DnaB-like helicase C terminal domain,Domain,427,1091,114795,268.8,47,Pfam seed
,PF16730.8,"DnaG-primase C-terminal, helicase-binding domain",Domain,13,121,1531,117.8,33,Pfam seed
,PF08278.14,DNA primase DnaG DnaB-binding,Domain,141,203,17744,125.8,22,Pfam seed
,PF07319.14,Primosomal protein DnaI N-terminus,Family,54,104,5069,93.9,30,Pfam seed
,PF00226.34,DnaJ domain,Domain,222,93,14032,63.2,44,Pfam seed
,PF11875.11,"DnaJ-like protein C11, C-terminal",Domain,92,320,13886,150.9,32,Pfam seed
,PF14308.9,X-domain of DnaJ-containing,Domain,116,376,24643,212.4,30,Pfam seed
,PF01556.21,DnaJ C terminal domain,Domain,958,403,186179,194.3,29,Pfam seed
,PF00684.22,DnaJ central domain,Domain,1237,104,79483,64.3,37,Pfam seed
,PF12339.11,DNA-J related protein,Family,30,151,3783,126.1,34,Pfam seed
,PF20502.1,"DNA-dependent protein kinase catalytic subunit, CC1/2",Domain,12,880,9693,807.8,55,Pfam seed
,PF08163.15,"DNA-dependent protein kinase catalytic subunit, CC3",Domain,17,442,6511,383.0,35,Pfam seed
,PF19704.2,"DNA-PKcs, CC5",Family,23,956,15797,686.8,49,Pfam seed
,PF09115.13,"DNA polymerase III, delta subunit, C terminal",Domain,49,126,5622,114.7,25,Pfam seed
,PF11590.11,DNA polymerase catalytic subunit Pol,Family,3,41,113,37.7,53,Pfam seed
,PF18136.4,DNA mitochondrial polymerase exonuclease domain,Domain,35,490,10005,285.9,36,Pfam seed
,PF08452.13,"DNA polymerase family B exonuclease domain, N-terminal",Family,7,23,155,22.1,63,Pfam seed
,PF03265.18,Deoxyribonuclease II,Family,77,601,25620,332.7,33,Pfam seed
,PF14040.9,Deoxyribonuclease NucA/NucB,Family,5,124,566,113.2,36,Pfam seed
,PF17948.4,DnaT DNA-binding domain,Domain,59,80,4130,70.0,27,Pfam seed
,PF20557.1,Putative DnaT-like ssDNA binding protein,Domain,41,222,6878,167.8,28,Pfam seed
,PF08713.14,DNA alkylation repair enzyme,Repeat,87,289,18802,216.1,24,Pfam seed
,PF01035.23,"6-O-methylguanine DNA methyltransferase, DNA binding domain",Domain,1380,200,113686,82.4,40,Pfam seed
,PF13724.9,DNA-binding domain,Domain,27,58,1241,46.0,44,Pfam seed
,PF07157.15,DNA circularisation protein N-terminus,Family,36,105,3167,88.0,37,Pfam seed
,PF03989.16,"DNA gyrase C-terminal domain, beta-propeller",Repeat,203,62,9808,48.3,22,Pfam seed
,PF00204.28,DNA gyrase B,Domain,48,235,8389,174.8,28,Pfam seed
,PF00986.24,"DNA gyrase B subunit, carboxyl terminus",Family,305,78,19396,63.6,51,Pfam seed
,PF03603.16,DNA polymerase III psi subunit,Family,30,156,3834,127.8,32,Pfam seed
,PF01653.21,NAD-dependent DNA ligase adenylation domain,Domain,11,330,3459,314.5,41,Pfam seed
,PF04679.18,ATP dependent DNA ligase C terminal region,Family,145,184,14552,100.4,29,Pfam seed
,PF01068.24,ATP dependent DNA ligase domain,Domain,32,301,6492,202.9,29,Pfam seed
,PF04675.17,DNA ligase N terminus,Family,406,482,74179,182.7,22,Pfam seed
,PF17879.4,DNA ligase C-terminal domain,Domain,1,109,109,109.0,100,Pfam seed
,PF11411.11,DNA ligase IV,Family,14,35,477,34.1,46,Pfam seed
,PF03120.19,NAD-dependent DNA ligase OB-fold domain,Domain,446,120,35085,78.7,49,Pfam seed
,PF14743.9,DNA ligase OB-like domain,Domain,85,102,5620,66.1,44,Pfam seed
,PF03119.19,NAD-dependent DNA ligase C4 zinc finger domain,Domain,419,51,11492,27.4,44,Pfam seed
,PF00145.20,C-5 cytosine-specific DNA methylase,Domain,31,546,10697,345.1,27,Pfam seed
,PF18284.4,DNA methylase N-terminal domain,Domain,15,57,852,56.8,41,Pfam seed
,PF01119.22,"DNA mismatch repair protein, C-terminal domain",Family,113,149,13504,119.5,30,Pfam seed
,PF11053.11,Terminase DNA packaging enzyme,Family,2,157,298,149.0,44,Pfam seed
,PF11123.11,DNA packaging protein,Family,1,82,82,82.0,100,Pfam seed
,PF02499.18,"Probable DNA packing protein, C-terminus",Domain,10,371,3502,350.2,46,Pfam seed
,PF02500.18,"Probable DNA packing protein, N-terminus",Family,10,332,2812,281.2,36,Pfam seed
,PF00875.21,DNA photolyase,Domain,66,261,11096,168.1,24,Pfam seed
,PF07733.15,Bacterial DNA polymerase III alpha NTPase domain,Domain,88,448,23365,265.5,35,Pfam seed
,PF14480.9,DNA polymerase III polC-type N-terminus I,Family,117,79,8439,72.1,19,Pfam seed
,PF11490.11,DNA polymerase III polC-type N-terminus II,Domain,46,133,5290,115.0,16,Pfam seed
,PF00712.22,"DNA polymerase III beta subunit, N-terminal domain",Domain,12,141,1463,121.9,30,Pfam seed
,PF02767.19,"DNA polymerase III beta subunit, central domain",Domain,12,130,1410,117.5,29,Pfam seed
,PF02768.18,"DNA polymerase III beta subunit, C-terminal domain",Domain,11,128,1335,121.4,26,Pfam seed
,PF04364.16,"DNA polymerase III chi subunit, HolC",Family,198,214,26870,135.7,27,Pfam seed
,PF06144.16,"DNA polymerase III, delta subunit",Family,19,190,3298,173.6,20,Pfam seed
,PF13177.9,"DNA polymerase III, delta subunit",Domain,39,225,6386,163.7,34,Pfam seed
,PF14840.9,Processivity clamp loader gamma complex DNA pol III C-term,Family,3,125,375,125.0,73,Pfam seed
,PF17657.4,Bacterial DNA polymerase III alpha subunit finger domain,Domain,89,277,14747,165.7,33,Pfam seed
,PF12169.11,DNA polymerase III subunits gamma and tau domain III,Family,28,145,3944,140.9,33,Pfam seed
,PF12168.11,DNA polymerase III subunits tau domain IV DnaB-binding,Family,13,108,1069,82.2,37,Pfam seed
,PF12170.11,DNA polymerase III tau subunit V interacting with alpha,Family,24,147,3361,140.0,41,Pfam seed
,PF06440.14,"DNA polymerase III, theta subunit",Domain,11,70,768,69.8,57,Pfam seed
,PF00476.23,DNA polymerase family A,Family,640,790,243379,380.3,45,Pfam seed
,PF12254.11,DNA polymerase alpha subunit p180 N terminal,Family,97,87,6347,65.4,39,Pfam seed
,PF01612.23,3'-5' exonuclease,Domain,24,236,4284,178.5,21,Pfam seed
,PF18305.4,3' to 5' exonuclease C-terminal domain,Domain,14,90,1223,87.4,37,Pfam seed
,PF00136.24,DNA polymerase family B,Family,29,702,13689,472.0,30,Pfam seed
,PF03175.16,"DNA polymerase type B, organellar and viral",Family,34,639,15767,463.7,23,Pfam seed
,PF08408.13,DNA polymerase family B viral insert,Family,10,152,1301,130.1,43,Pfam seed
,PF03104.22,"DNA polymerase family B, exonuclease domain",Family,32,529,10596,331.1,20,Pfam seed
,PF10108.12,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB,Family,24,250,5109,212.9,40,Pfam seed
,PF18094.4,DNA polymerase beta N-terminal domain,Domain,16,162,1664,104.0,29,Pfam seed
,PF14792.9,DNA polymerase beta palm,Domain,34,183,4050,119.1,36,Pfam seed
,PF14791.9,DNA polymerase beta thumb,Family,341,139,23427,68.7,35,Pfam seed
,PF04081.16,"DNA polymerase delta, subunit 4",Family,12,153,1529,127.4,34,Pfam seed
